Address,Token
0x59bA902861dbEAdB8bcdFd6096292169B3310f15,1200
0x96A0f6F99CeD51A0407A7E052275fACe69228467,1200
0x53F773f4456DC13Bd06e2b48B0E8665eE7a327DC,1200
0x966aceda1a0653856Dd91322D108F66Ee90c4875,1200
0x5fDDa7Af5C313C29658536Abe7ca825e249A9B75,1200
0x46DEC74Da990632C52080962a858567695Da703A,1200
0x93Ee59B236fD1Af89619B3B420E4F96718EFE1fa,1200
0xebf1fCdE2624827D9d60A9bBdBA91B557c2c6707,1200
0xEF1244aF7099dCE45eE7F937534f0968501efb29,1200
0xF9b37309bFCa20f63DC59c9793de310Dc01F7766,1200
0x8F834B0c0f8828Be9DE100354e8600B4ec1d72A8,1200
0x6e91973DEE716Ed6859E7bB689c9BD2955BdB96e,1200
0x81a1aD6723F49Ae0f3322E45ab9cA56F8Faa44Db,1800
0xC6965F1a8C4F6A0B3DAf1690F35F1ab634400C7A,1800
0x10C4d4b3c3b52a69d1D2f87bF7fcd6c66f51cd91,1800
0x05b5BBc2A62D4C08C842b7112820bDec352c4F31,1800
0x529656620D914443405A55ec42Ad0eAEaF0b4A2c,1800
0x17736ded6d80472e94db70095D87118BfDD682Fd,1800
0x698A00C4546432b2ad17629Ee68b95783800321D,1800
0xBF3A4a6b6e186acC9B5e3a248991Ed7fF79BEcd9,1800
0x05060aB771834Cd3f69733ffbb9795E6231D815b,1800
0xc2b5f67dA9F6A57469441F76c2f47982c6684c00,1800
0x4F32689ea73E087c5Ab494306AC36a24B3f220DC,1800
0x7C817F5E30aa68DB39B6130E7cA247C5C4746084,1800
